noise_ID,subset,length,augmented,origin_path
01oc0214_0.72509_017c021c_-0.72509sp12.wav,tr,49262,True,tr/01oc0214_0.72509_017c021c_-0.72509sp12.wav
209c010p_2.3645_01vc020u_-2.3645sp12.wav,tr,51649,True,tr/209c010p_2.3645_01vc020u_-2.3645sp12.wav
023c020y_1.663_40hc020s_-1.663sp12.wav,tr,52450,True,tr/023c020y_1.663_40hc020s_-1.663sp12.wav
40hc0201_1.3028_20pc0101_-1.3028.wav,tr,54079,False,tr/40hc0201_1.3028_20pc0101_-1.3028.wav
027o0319_0.54789_024c020l_-0.54789sp12.wav,tr,54254,True,tr/027o0319_0.54789_024c020l_-0.54789sp12.wav
20ic010c_2.1956_013c020y_-2.1956sp12.wav,tr,54988,True,tr/20ic010c_2.1956_013c020y_-2.1956sp12.wav
40eo030u_0.76285_01ec021c_-0.76285sp12.wav,tr,55242,True,tr/40eo030u_0.76285_01ec021c_-0.76285sp12.wav
01qo0319_1.312_20cc010f_-1.312sp12.wav,tr,55592,True,tr/01qo0319_1.312_20cc010f_-1.312sp12.wav
01yc021a_0.39089_02dc020g_-0.39089sp12.wav,tr,57746,True,tr/01yc021a_0.39089_02dc020g_-0.39089sp12.wav
408c0219_0.75342_023c0218_-0.75342sp12.wav,tr,58028,True,tr/408c0219_0.75342_023c0218_-0.75342sp12.wav
01cc020m_1.4887_01sc0219_-1.4887sp12.wav,tr,58817,True,tr/01cc020m_1.4887_01sc0219_-1.4887sp12.wav
01oc0214_0.72509_017c021c_-0.72509.wav,tr,59114,False,tr/01oc0214_0.72509_017c021c_-0.72509.wav
012c0202_2.2649_01nc020z_-2.2649sp12.wav,tr,59306,True,tr/012c0202_2.2649_01nc020z_-2.2649sp12.wav
020c0217_0.70183_40go0306_-0.70183sp12.wav,tr,59697,True,tr/020c0217_0.70183_40go0306_-0.70183sp12.wav
20fc010b_0.64488_407c021i_-0.64488sp12.wav,tr,59733,True,tr/20fc010b_0.64488_407c021i_-0.64488sp12.wav
028c0201_2.1216_409o030y_-2.1216sp12.wav,tr,60744,True,tr/028c0201_2.1216_409o030y_-2.1216sp12.wav
406o031d_0.87476_023c020q_-0.87476sp12.wav,tr,60863,True,tr/406o031d_0.87476_023c020q_-0.87476sp12.wav
01xo031b_0.36212_20ga010z_-0.36212sp12.wav,tr,61242,True,tr/01xo031b_0.36212_20ga010z_-0.36212sp12.wav
404a0114_0.093104_205c010j_-0.093104sp12.wav,tr,61649,True,tr/404a0114_0.093104_205c010j_-0.093104sp12.wav
20cc010c_1.6296_40ec020g_-1.6296sp12.wav,tr,61825,True,tr/20cc010c_1.6296_40ec020g_-1.6296sp12.wav
209c010p_2.3645_01vc020u_-2.3645.wav,tr,61979,False,tr/209c010p_2.3645_01vc020u_-2.3645.wav
406c020q_2.0513_20sc010q_-2.0513sp12.wav,tr,62218,True,tr/406c020q_2.0513_20sc010q_-2.0513sp12.wav
019o031a_0.27588_01vo030q_-0.27588sp12.wav,tr,62407,True,tr/019o031a_0.27588_01vo030q_-0.27588sp12.wav
01zo0307_2.4943_029c020y_-2.4943sp12.wav,tr,62641,True,tr/01zo0307_2.4943_029c020y_-2.4943sp12.wav
20gc0109_0.23743_01yc020t_-0.23743sp12.wav,tr,62741,True,tr/20gc0109_0.23743_01yc020t_-0.23743sp12.wav
01yc020i_0.27685_20vo0107_-0.27685sp12.wav,tr,62741,True,tr/01yc020i_0.27685_20vo0107_-0.27685sp12.wav
20ha0112_0.16442_01kc021c_-0.16442sp12.wav,tr,62841,True,tr/20ha0112_0.16442_01kc021c_-0.16442sp12.wav
023c020y_1.663_40hc020s_-1.663.wav,tr,62940,False,tr/023c020y_1.663_40hc020s_-1.663.wav
20fa0113_1.5782_20oa010b_-1.5782sp12.wav,tr,63156,True,tr/20fa0113_1.5782_20oa010b_-1.5782sp12.wav
204a010g_0.084454_021c0215_-0.084454sp12.wav,tr,63251,True,tr/204a010g_0.084454_021c0215_-0.084454sp12.wav
408a010s_0.56205_029o031c_-0.56205sp12.wav,tr,63745,True,tr/408a010s_0.56205_029o031c_-0.56205sp12.wav
40mo0314_1.6839_20fa010y_-1.6839sp12.wav,tr,63895,True,tr/40mo0314_1.6839_20fa010y_-1.6839sp12.wav
01mc020h_1.9273_20hc010k_-1.9273sp12.wav,tr,64223,True,tr/01mc020h_1.9273_20hc010k_-1.9273sp12.wav
204c0103_0.56027_20vo010f_-0.56027sp12.wav,tr,64307,True,tr/204c0103_0.56027_20vo010f_-0.56027sp12.wav
20jc010b_1.8149_406c0218_-1.8149sp12.wav,tr,64466,True,tr/20jc010b_1.8149_406c0218_-1.8149sp12.wav
401c020i_0.70427_01wc020s_-0.70427sp12.wav,tr,64501,True,tr/401c020i_0.70427_01wc020s_-0.70427sp12.wav
01nc020m_2.4623_017c0218_-2.4623sp12.wav,tr,64626,True,tr/01nc020m_2.4623_017c0218_-2.4623sp12.wav
40ja010g_0.0076839_013c021c_-0.0076839sp12.wav,tr,64648,True,tr/40ja010g_0.0076839_013c021c_-0.0076839sp12.wav
204o010k_0.075108_01zo0309_-0.075108sp12.wav,tr,64693,True,tr/204o010k_0.075108_01zo0309_-0.075108sp12.wav
40ea010m_1.9697_01dc020j_-1.9697sp12.wav,tr,64713,True,tr/40ea010m_1.9697_01dc020j_-1.9697sp12.wav
027o0319_0.54789_024c020l_-0.54789.wav,tr,65105,False,tr/027o0319_0.54789_024c020l_-0.54789.wav
01nc020a_0.54104_01io030p_-0.54104sp12.wav,tr,65161,True,tr/01nc020a_0.54104_01io030p_-0.54104sp12.wav
014a0113_0.78145_40jc0202_-0.78145sp12.wav,tr,65558,True,tr/014a0113_0.78145_40jc0202_-0.78145sp12.wav
206c010d_1.3162_20ho0103_-1.3162sp12.wav,tr,65593,True,tr/206c010d_1.3162_20ho0103_-1.3162sp12.wav
40cc0218_0.76714_021c020p_-0.76714sp12.wav,tr,65659,True,tr/40cc0218_0.76714_021c020p_-0.76714sp12.wav
20sc010m_0.63781_40oc0206_-0.63781sp12.wav,tr,65719,True,tr/20sc010m_0.63781_40oc0206_-0.63781sp12.wav
01sa010m_2.0198_20sa0110_-2.0198sp12.wav,tr,65737,True,tr/01sa010m_2.0198_20sa0110_-2.0198sp12.wav
20ic010c_2.1956_013c020y_-2.1956.wav,tr,65986,False,tr/20ic010c_2.1956_013c020y_-2.1956.wav
40eo030u_0.76285_01ec021c_-0.76285.wav,tr,66290,False,tr/40eo030u_0.76285_01ec021c_-0.76285.wav
40ja0103_0.42698_40co030v_-0.42698sp12.wav,tr,66495,True,tr/40ja0103_0.42698_40co030v_-0.42698sp12.wav
01mc0207_1.6611_01nc020y_-1.6611sp12.wav,tr,66548,True,tr/01mc0207_1.6611_01nc020y_-1.6611sp12.wav
207o010e_1.6988_40pa0113_-1.6988sp12.wav,tr,66639,True,tr/207o010e_1.6988_40pa0113_-1.6988sp12.wav
01qo0319_1.312_20cc010f_-1.312.wav,tr,66710,False,tr/01qo0319_1.312_20cc010f_-1.312.wav
01va0102_2.3761_017a010s_-2.3761sp12.wav,tr,66773,True,tr/01va0102_2.3761_017a010s_-2.3761sp12.wav
028c0217_0.60737_029c021b_-0.60737sp12.wav,tr,67177,True,tr/028c0217_0.60737_029c021b_-0.60737sp12.wav
408c0214_1.647_021c0214_-1.647sp12.wav,tr,67211,True,tr/408c0214_1.647_021c0214_-1.647sp12.wav
01oc020z_1.8025_20qo010g_-1.8025sp12.wav,tr,67242,True,tr/01oc020z_1.8025_20qo010g_-1.8025sp12.wav
20fa010y_0.12875_408c020y_-0.12875sp12.wav,tr,67262,True,tr/20fa010y_0.12875_408c020y_-0.12875sp12.wav
20ga010y_1.0853_403c0207_-1.0853sp12.wav,tr,67303,True,tr/20ga010y_1.0853_403c0207_-1.0853sp12.wav
408c0219_2.4465_01mc020a_-2.4465sp12.wav,tr,67319,True,tr/408c0219_2.4465_01mc020a_-2.4465sp12.wav
20uo0109_0.72043_406o030a_-0.72043sp12.wav,tr,67396,True,tr/20uo0109_0.72043_406o030a_-0.72043sp12.wav
40ca0113_2.4486_023c020v_-2.4486sp12.wav,tr,67465,True,tr/40ca0113_2.4486_023c020v_-2.4486sp12.wav
20da010m_0.17887_403c020r_-0.17887sp12.wav,tr,67469,True,tr/20da010m_0.17887_403c020r_-0.17887sp12.wav
20oc010l_2.1451_020a0105_-2.1451sp12.wav,tr,67569,True,tr/20oc010l_2.1451_020a0105_-2.1451sp12.wav
20ga010q_2.0398_01ia010g_-2.0398sp12.wav,tr,67570,True,tr/20ga010q_2.0398_01ia010g_-2.0398sp12.wav
40hc0201_1.3028_20pc0101_-1.3028sp08.wav,tr,67599,True,tr/40hc0201_1.3028_20pc0101_-1.3028sp08.wav
408o031b_0.28995_01pc0207_-0.28995sp12.wav,tr,67633,True,tr/408o031b_0.28995_01pc0207_-0.28995sp12.wav
20oa010g_2.4151_40nc021d_-2.4151sp12.wav,tr,67784,True,tr/20oa010g_2.4151_40nc021d_-2.4151sp12.wav
016c0210_1.4407_40ec0214_-1.4407sp12.wav,tr,67812,True,tr/016c0210_1.4407_40ec0214_-1.4407sp12.wav
013c020p_0.39169_209c010p_-0.39169sp12.wav,tr,67816,True,tr/013c020p_0.39169_209c010p_-0.39169sp12.wav
40mc0211_1.6713_20pc010d_-1.6713sp12.wav,tr,67946,True,tr/40mc0211_1.6713_20pc010d_-1.6713sp12.wav
01xc0212_1.0701_20ro0105_-1.0701sp12.wav,tr,68062,True,tr/01xc0212_1.0701_20ro0105_-1.0701sp12.wav
01tc021g_0.95814_20to0105_-0.95814sp12.wav,tr,68071,True,tr/01tc021g_0.95814_20to0105_-0.95814sp12.wav
404a010j_1.7799_403o030g_-1.7799sp12.wav,tr,68109,True,tr/404a010j_1.7799_403o030g_-1.7799sp12.wav
02cc020r_1.9227_407c020y_-1.9227sp12.wav,tr,68144,True,tr/02cc020r_1.9227_407c020y_-1.9227sp12.wav
019o0313_1.2228_20po010b_-1.2228sp12.wav,tr,68182,True,tr/019o0313_1.2228_20po010b_-1.2228sp12.wav
02cc020r_1.7271_018c020a_-1.7271sp12.wav,tr,68246,True,tr/02cc020r_1.7271_018c020a_-1.7271sp12.wav
40ca0110_0.46072_409o030w_-0.46072sp12.wav,tr,68329,True,tr/40ca0110_0.46072_409o030w_-0.46072sp12.wav
20fa010u_0.10958_01ro0313_-0.10958sp12.wav,tr,68383,True,tr/20fa010u_0.10958_01ro0313_-0.10958sp12.wav
