mixture_ID,source_1_path,source_1_gain,source_2_path,source_2_gain,source_3_path,source_3_gain,noise_path,noise_gain
5189-37999-0012_666-11244-0000_8825-292253-0007,train-clean-360/5189/37999/5189-37999-0012.flac,0.4871656649600195,train-clean-360/666/11244/666-11244-0000.flac,0.6150541879857971,train-clean-360/8825/292253/8825-292253-0007.flac,0.8660758749834843,tr/01ao0316_2.4911_015o0312_-2.4911sp08.wav,2.1536178611497796
6235-36641-0113_6160-44912-0004_3157-168062-0002,train-clean-360/6235/36641/6235-36641-0113.flac,0.40763631433474734,train-clean-360/6160/44912/6160-44912-0004.flac,0.6290632464423255,train-clean-360/3157/168062/3157-168062-0002.flac,0.7458146141557791,tr/014o030n_0.016462_204a0106_-0.016462.wav,1.9890871049950591
4586-61776-0025_1296-138074-0048_4427-12471-0014,train-clean-360/4586/61776/4586-61776-0025.flac,0.6705889051967477,train-clean-360/1296/138074/1296-138074-0048.flac,0.6474404300851165,train-clean-360/4427/12471/4427-12471-0014.flac,0.42795690717671897,tr/20fc0109_0.98759_025c020z_-0.98759.wav,1.2022560796561048
217-122443-0069_3289-171107-0008_1422-149735-0020,train-clean-360/217/122443/217-122443-0069.flac,1.0950138452926388,train-clean-360/3289/171107/3289-171107-0008.flac,0.6357412960247466,train-clean-360/1422/149735/1422-149735-0020.flac,0.6400495740765145,tr/401o0315_0.50532_20fa0106_-0.50532.wav,1.0996535986797622
3816-19585-0027_8725-294551-0018_1348-135832-0010,train-clean-360/3816/19585/3816-19585-0027.flac,0.6343293151157072,train-clean-360/8725/294551/8725-294551-0018.flac,0.37855008070834945,train-clean-360/1348/135832/1348-135832-0010.flac,0.5958706148296629,tr/20cc0106_0.86667_20to010g_-0.86667sp08.wav,0.6909600500932959
7095-88484-0019_8097-108005-0054_6378-61780-0006,train-clean-360/7095/88484/7095-88484-0019.flac,0.2889780392222707,train-clean-360/8097/108005/8097-108005-0054.flac,0.5750861137282451,train-clean-360/6378/61780/6378-61780-0006.flac,0.773534764669876,tr/01po030l_0.86417_406o030h_-0.86417sp08.wav,0.4469452510790235
3294-167597-0025_7967-104986-0040_3171-7574-0006,train-clean-360/3294/167597/3294-167597-0025.flac,0.36844915365428393,train-clean-360/7967/104986/7967-104986-0040.flac,0.6323605156999083,train-clean-360/3171/7574/3171-7574-0006.flac,0.7025331339408178,tr/01ya0107_0.57695_01no0302_-0.57695sp12.wav,0.9663525860298532
8195-117382-0051_6574-70756-0018_4064-77779-0028,train-clean-360/8195/117382/8195-117382-0051.flac,0.3889324361981618,train-clean-360/6574/70756/6574-70756-0018.flac,0.5386598093553989,train-clean-360/4064/77779/4064-77779-0028.flac,0.3358884151513164,tr/027a0104_0.63685_403o0314_-0.63685sp08.wav,0.5317516334357141
1552-140651-0033_6082-56174-0050_4490-16003-0014,train-clean-360/1552/140651/1552-140651-0033.flac,0.7648870941017883,train-clean-360/6082/56174/6082-56174-0050.flac,0.48415517615598974,train-clean-360/4490/16003/4490-16003-0014.flac,0.5683432225026407,tr/205o010q_1.5765_01ba0102_-1.5765sp08.wav,2.0176734917625625
3490-177638-0016_6215-62347-0026_3513-7741-0007,train-clean-360/3490/177638/3490-177638-0016.flac,0.3885922113943359,train-clean-360/6215/62347/6215-62347-0026.flac,0.2540598034025971,train-clean-360/3513/7741/3513-7741-0007.flac,0.34205388903515144,tr/01oo0311_1.2944_015c020b_-1.2944sp12.wav,1.0534734638785226
5054-18527-0039_4973-44575-0030_3001-160952-0052,train-clean-360/5054/18527/5054-18527-0039.flac,0.39574543808439305,train-clean-360/4973/44575/4973-44575-0030.flac,0.5544561776421576,train-clean-360/3001/160952/3001-160952-0052.flac,0.9121847735739378,tr/012o030x_1.5753_407c0215_-1.5753sp08.wav,2.9994843015508477
7484-39971-0066_3738-164927-0028_8194-89388-0022,train-clean-360/7484/39971/7484-39971-0066.flac,0.3930326417375709,train-clean-360/3738/164927/3738-164927-0028.flac,0.9699217048401795,train-clean-360/8194/89388/8194-89388-0022.flac,0.6542970500703584,tr/20mo0109_1.3111_02co030l_-1.3111sp08.wav,1.7961175443786404
606-121661-0043_242-122627-0029_1482-140067-0033,train-clean-360/606/121661/606-121661-0043.flac,0.46456390945512527,train-clean-360/242/122627/242-122627-0029.flac,0.6601805112830983,train-clean-360/1482/140067/1482-140067-0033.flac,0.41632673512902135,tr/023c0203_0.71082_028c0206_-0.71082sp08.wav,3.0083825633581154
